State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Chittor,Palamaner,"Cluster beans","Cluster Beans",FAQ,03/03/2025,1500,2500,2000
"Andhra Pradesh",Chittor,Tirupati,Banana,Bhushavali(Pacha),Small,03/03/2025,8000,10000,9000
"Andhra Pradesh","East Godavari",Ravulapelem,Banana,Bhushavali(Pacha),Large,03/03/2025,1600,2100,1900
"Andhra Pradesh",Kurnool,Kurnool,"Arhar (Tur/Red Gram)(Whole)",Local,Non-FAQ,03/03/2025,1229,6875,6229
"Andhra Pradesh",Kurnool,Kurnool,"Foxtail Millet(Navane)",Other,FAQ,03/03/2025,1613,3096,2496
"Andhra Pradesh",Kurnool,Kurnool,Groundnut,Local,FAQ,03/03/2025,1177,6767,5709
"Andhra Pradesh",Kurnool,Kurnool,Sunflower,Bold,FAQ,03/03/2025,3640,3640,3640
Bihar,Araria,Forbesganj,Potato,Jyoti,FAQ,03/03/2025,900,1400,1100
Gujarat,Ahmedabad,Ahmedabad,"Amla(Nelli Kai)",Other,FAQ,03/03/2025,3500,5000,4350
Gujarat,Ahmedabad,Ahmedabad,"Bottle gourd",Other,FAQ,03/03/2025,300,1800,1050
Gujarat,Ahmedabad,Ahmedabad,Cabbage,Other,FAQ,03/03/2025,200,400,325
Gujarat,Ahmedabad,Ahmedabad,Carrot,Other,FAQ,03/03/2025,700,1100,950
Gujarat,Ahmedabad,Ahmedabad,"Onion Green",Other,FAQ,03/03/2025,500,1000,750
Gujarat,Ahmedabad,Ahmedabad,"Sweet Potato",Other,FAQ,03/03/2025,2000,3000,2650
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",FAQ,03/03/2025,5605,7445,7000
Gujarat,Ahmedabad,Sanad,Paddy(Dhan)(Common),Other,Non-FAQ,03/03/2025,2150,2556,2353
Gujarat,Ahmedabad,Viramgam,"Castor Seed","Castor seed",FAQ,03/03/2025,6110,6185,6150
Gujarat,Ahmedabad,Viramgam,Cotton,Other,Non-FAQ,03/03/2025,5500,7160,6330
Gujarat,Ahmedabad,Viramgam,"Cummin Seed(Jeera)",Other,FAQ,03/03/2025,16950,18450,17700
Gujarat,Amreli,Babra,Cotton,"Shanker 6 (B) 30mm FIne",FAQ,03/03/2025,7100,7400,7250
Gujarat,Amreli,Bagasara,Soyabean,Yellow,Non-FAQ,03/03/2025,2500,3500,3000
Gujarat,Amreli,Bagasara,Wheat,"Lokwan Gujrat",FAQ,03/03/2025,2035,2560,2297
Gujarat,Amreli,Damnagar,Tomato,Local,Non-FAQ,03/03/2025,350,1250,800
Gujarat,Amreli,Dhari,"Ground Nut Seed","Ground Nut Seed",FAQ,03/03/2025,5255,5255,5255
Gujarat,Amreli,Rajula,Cotton,Local,FAQ,03/03/2025,6100,7300,6700
Gujarat,Amreli,Rajula,Groundnut,Local,FAQ,03/03/2025,4500,5010,4755
